"ElevationCount","Product","Description","Publisher","FileName","FileInternalName","FileVersion","FilePath","FileHash","Users","Devices","ElevationType","ChildProcessBehaviour","Group"
"2371","Microsoft® Windows® Operating System","Console Window Host","Microsoft Corporation","Conhost.exe","ConHost","10.0.26100.1591","C:\\WINDOWS\\System32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2345","Microsoft® Windows® Operating System","Windows Command Processor","Microsoft Corporation","cmd.exe","cmd","10.0.26100.1591","C:\\Windows\\System32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2334","Microsoft® Windows® Operating System","Lists the current running tasks","Microsoft Corporation","tasklist.exe","tasklist.exe","10.0.26100.1","C:\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"2332","Microsoft® Windows® Operating System","Find String (QGREP) Utility","Microsoft Corporation","findstr.exe","findstr","10.0.26100.1150","C:\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"45","Microsoft® Windows® Operating System","Console Window Host","Microsoft Corporation","Conhost.exe","ConHost","10.0.22621.3672","C:\\Windows\\System32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"37","Microsoft® Windows® Operating System","Migration Plugins host program","Microsoft Corporation","mighost.exe","MigHost","10.0.26100.1","C:\\$WINDOWS.~BT\\Sources","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"30","Microsoft® Windows® Operating System","Dism Host Servicing Process","Microsoft Corporation","dismhost.exe","dismhost","10.0.26100.1150","C:\\Windows\\System32\\Dism","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"30","Sysinternals AccessChk","Reports effective permissions for securable objects","Sysinternals - www.sysinternals.com","accesschk.exe","Accesschk","6.15.0.0","C:\\TEMP\\AaronLocker-main\\AaronLocker","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"26","Visual Studio Code","Visual Studio Code","Microsoft Corporation","Code.exe","electron.exe","1.94.1.0","C:\\Users\\NickBenton\\AppData\\Local\\Programs\\Microsoft VS Code","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"21","Microsoft® Windows® Operating System","Windows Event Log Utility","Microsoft Corporation","wevtutil.exe","wevtutil.exe","10.0.26100.1150","C:\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"19","","Adobe AcroCEF","Adobe Systems Incorporated","AcroCEF.exe","","23.8.20533.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\acrocef_1","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"16","<Null>","<Null>","<Null>","FullTrustNotifier.exe","<Null>","0.0.0.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat\\RDCNotificationClient","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"12","Microsoft® Windows® Operating System","Windows Subsystem for Linux","Microsoft Corporation","wsl.exe","wsl.exe","10.0.26100.1150","C:\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
